2026-03-03 18:13:55 | INFO     | tokkyon | === 明細書生成開始 ===
2026-03-03 18:13:55 | INFO     | tokkyon | リポジトリURL: https://github.com/banana1211-cyber/vrm-chat-app
2026-03-03 18:13:55 | INFO     | tokkyon | 出願人: 出願人
2026-03-03 18:13:55 | INFO     | tokkyon | LLMプロバイダー: openai
2026-03-03 18:13:55 | INFO     | tokkyon | リポジトリ解析中...
2026-03-03 18:13:55 | DEBUG    | httpcore.connection | connect_tcp.started host='api.github.com' port=443 local_address=None timeout=5.0 socket_options=None
2026-03-03 18:13:55 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x7a3f1c5465c0>
2026-03-03 18:13:55 | DEBUG    | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x7a3f1c4808c0> server_hostname='api.github.com' timeout=5.0
2026-03-03 18:13:55 | DEBUG    | httpcore.connection | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x7a3f20ee7610>
2026-03-03 18:13:55 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2026-03-03 18:13:55 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-03-03 18:13:55 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2026-03-03 18:13:55 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-03-03 18:13:55 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 03 Mar 2026 09:13:55 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Cache-Control', b'public, max-age=60, s-maxage=60'), (b'Vary', b'Accept,Accept-Encoding, Accept, X-Requested-With'), (b'ETag', b'W/"eea1a0153f905b0723ece58966169918da9260b153aa1b0024711d32c50aa551"'), (b'Last-Modified', b'Fri, 17 Oct 2025 08:45:45 GMT'), (b'X-GitHub-Media-Type', b'github.v3; format=json'), (b'x-github-api-version-selected', b'2022-11-28'), (b'Access-Control-Expose-Headers', b'ETag, Link, Location, Retry-After, X-GitHub-OTP, X-RateLimit-Limit, X-RateLimit-Remaining, X-RateLimit-Used, X-RateLimit-Resource, X-RateLimit-Reset, X-OAuth-Scopes, X-Accepted-OAuth-Scopes, X-Poll-Interval, X-GitHub-Media-Type, X-GitHub-SSO, X-GitHub-Request-Id, Deprecation, Sunset'), (b'Access-Control-Allow-Origin', b'*'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubdomains; preload'), (b'X-Frame-Options', b'deny'), (b'X-Content-Type-Options', b'nosniff'), (b'X-XSS-Protection', b'0'), (b'Referrer-Policy', b'origin-when-cross-origin, strict-origin-when-cross-origin'), (b'Content-Security-Policy', b"default-src 'none'"), (b'Content-Encoding', b'gzip'), (b'Server', b'github.com'), (b'Accept-Ranges', b'bytes'), (b'X-RateLimit-Limit', b'60'), (b'X-RateLimit-Remaining', b'59'), (b'X-RateLimit-Used', b'1'), (b'X-RateLimit-Resource', b'core'), (b'X-RateLimit-Reset', b'1772532835'), (b'Content-Length', b'1256'), (b'X-GitHub-Request-Id', b'DFD4:0E28:90AA17:AA3FA1:69A6A653')])
2026-03-03 18:13:56 | INFO     | httpx | HTTP Request: GET https://api.github.com/repos/banana1211-cyber/vrm-chat-app "HTTP/1.1 200 OK"
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | response_closed.started
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | response_closed.complete
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 03 Mar 2026 09:13:55 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Cache-Control', b'public, max-age=60, s-maxage=60'), (b'Vary', b'Accept,Accept-Encoding, Accept, X-Requested-With'), (b'ETag', b'W/"6d363762b5e672f158427d21539fd3c13a563ff2"'), (b'Last-Modified', b'Fri, 17 Oct 2025 08:45:38 GMT'), (b'X-GitHub-Media-Type', b'github.v3; format=json'), (b'x-github-api-version-selected', b'2022-11-28'), (b'Access-Control-Expose-Headers', b'ETag, Link, Location, Retry-After, X-GitHub-OTP, X-RateLimit-Limit, X-RateLimit-Remaining, X-RateLimit-Used, X-RateLimit-Resource, X-RateLimit-Reset, X-OAuth-Scopes, X-Accepted-OAuth-Scopes, X-Poll-Interval, X-GitHub-Media-Type, X-GitHub-SSO, X-GitHub-Request-Id, Deprecation, Sunset'), (b'Access-Control-Allow-Origin', b'*'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubdomains; preload'), (b'X-Frame-Options', b'deny'), (b'X-Content-Type-Options', b'nosniff'), (b'X-XSS-Protection', b'0'), (b'Referrer-Policy', b'origin-when-cross-origin, strict-origin-when-cross-origin'), (b'Content-Security-Policy', b"default-src 'none'"), (b'Content-Encoding', b'gzip'), (b'Server', b'github.com'), (b'Accept-Ranges', b'bytes'), (b'X-RateLimit-Limit', b'60'), (b'X-RateLimit-Remaining', b'58'), (b'X-RateLimit-Used', b'2'), (b'X-RateLimit-Resource', b'core'), (b'X-RateLimit-Reset', b'1772532835'), (b'Transfer-Encoding', b'chunked'), (b'X-GitHub-Request-Id', b'DFD4:0E28:90AA43:AA3FF1:69A6A653')])
2026-03-03 18:13:56 | INFO     | httpx | HTTP Request: GET https://api.github.com/repos/banana1211-cyber/vrm-chat-app/readme "HTTP/1.1 200 OK"
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | response_closed.started
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | response_closed.complete
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-03-03 18:13:56 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
